k,d,extra,n,N,pass_rate_det,pass_rate_prob,ci_low_prob,ci_high_prob
3,1,1,128,200,0.0,0.0,0.0,0.018846005918320894
3,1,1,256,200,0.0,0.0,0.0,0.018846005918320894
3,1,1,512,200,0.0,0.0,0.0,0.018846005918320894
3,1,1,1024,200,0.0,0.0,0.0,0.018846005918320894
3,1,1,2048,200,0.0,0.0,0.0,0.018846005918320894
3,1,1,4096,200,0.0,0.0,0.0,0.018846005918320894
3,1,1,8192,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,64,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,128,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,256,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,512,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,1024,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,2048,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,4096,200,0.0,0.0,0.0,0.018846005918320894
3,1,2,8192,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,64,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,128,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,256,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,512,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,1024,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,2048,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,4096,200,0.0,0.0,0.0,0.018846005918320894
3,1,4,8192,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,64,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,128,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,256,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,512,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,1024,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,2048,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,4096,200,0.0,0.0,0.0,0.018846005918320894
3,2,1,8192,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,64,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,128,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,256,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,512,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,1024,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,2048,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,4096,200,0.0,0.0,0.0,0.018846005918320894
3,2,2,8192,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,64,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,128,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,256,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,512,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,1024,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,2048,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,4096,200,0.0,0.0,0.0,0.018846005918320894
3,2,4,8192,200,0.0,0.0,0.0,0.018846005918320894
3,3,1,64,200,1.0,0.495,0.4264572195415849,0.5637312405175983
3,3,1,128,200,1.0,0.485,0.4166726249238525,0.5538927552536972
3,3,1,256,200,1.0,0.52,0.4510366005581654,0.5882095592051018
3,3,1,512,200,1.0,0.445,0.3778048169746545,0.5142682436763609
3,3,1,1024,200,1.0,0.54,0.4708216309361468,0.6076706885903875
3,3,1,2048,200,1.0,0.535,0.46586521028994954,0.6028155692957681
3,3,1,4096,200,1.0,0.52,0.4510366005581654,0.5882095592051018
3,3,1,8192,200,1.0,0.46,0.39232931140961247,0.5291783690638533
3,3,2,64,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,128,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,256,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,512,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,1024,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,2048,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,4096,200,0.0,0.0,0.0,0.018846005918320894
3,3,2,8192,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,64,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,128,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,256,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,512,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,1024,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,2048,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,4096,200,0.0,0.0,0.0,0.018846005918320894
3,3,4,8192,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,64,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,128,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,256,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,512,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,1024,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,2048,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,4096,200,0.0,0.0,0.0,0.018846005918320894
4,1,1,8192,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,64,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,128,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,256,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,512,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,1024,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,2048,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,4096,200,0.0,0.0,0.0,0.018846005918320894
4,1,2,8192,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,64,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,128,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,256,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,512,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,1024,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,2048,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,4096,200,0.0,0.0,0.0,0.018846005918320894
4,1,4,8192,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,64,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,128,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,256,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,512,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,1024,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,2048,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,4096,200,0.0,0.0,0.0,0.018846005918320894
4,2,1,8192,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,64,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,128,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,256,200,0.0,0.0,0.0,0.018846005918320894
