k,d,extra,n,trial,pass_det,pass_prob
2,1,1,128,123,0,0
2,1,1,128,124,0,0
2,1,1,128,125,0,0
2,1,1,128,126,0,0
2,1,1,128,127,0,0
2,1,1,128,128,0,0
2,1,1,128,129,0,0
2,1,1,128,130,0,0
2,1,1,128,131,0,0
2,1,1,128,132,0,0
2,1,1,128,133,0,0
2,1,1,128,134,0,0
2,1,1,128,135,0,0
2,1,1,128,136,0,0
2,1,1,128,137,0,0
2,1,1,128,138,0,0
2,1,1,128,139,0,0
2,1,1,128,140,0,0
2,1,1,128,141,0,0
2,1,1,128,142,0,0
2,1,1,128,143,0,0
2,1,1,128,144,0,0
2,1,1,128,145,0,0
2,1,1,128,146,0,0
2,1,1,128,147,0,0
2,1,1,128,148,0,0
2,1,1,128,149,0,0
2,1,1,128,150,0,0
2,1,1,128,151,0,0
2,1,1,128,152,0,0
2,1,1,128,153,0,0
2,1,1,128,154,0,0
2,1,1,128,155,0,0
2,1,1,128,156,0,0
2,1,1,128,157,0,0
2,1,1,128,158,0,0
2,1,1,128,159,0,0
2,1,1,128,160,0,0
2,1,1,128,161,0,0
2,1,1,128,162,0,0
2,1,1,128,163,0,0
2,1,1,128,164,0,0
2,1,1,128,165,0,0
2,1,1,128,166,0,0
2,1,1,128,167,0,0
2,1,1,128,168,0,0
2,1,1,128,169,0,0
2,1,1,128,170,0,0
2,1,1,128,171,0,0
2,1,1,128,172,0,0
2,1,1,128,173,0,0
2,1,1,128,174,0,0
2,1,1,128,175,0,0
2,1,1,128,176,0,0
2,1,1,128,177,0,0
2,1,1,128,178,0,0
2,1,1,128,179,0,0
2,1,1,128,180,0,0
2,1,1,128,181,0,0
2,1,1,128,182,0,0
2,1,1,128,183,0,0
2,1,1,128,184,0,0
2,1,1,128,185,0,0
2,1,1,128,186,0,0
2,1,1,128,187,0,0
2,1,1,128,188,0,0
2,1,1,128,189,0,0
2,1,1,128,190,0,0
2,1,1,128,191,0,0
2,1,1,128,192,0,0
2,1,1,128,193,0,0
2,1,1,128,194,0,0
2,1,1,128,195,0,0
2,1,1,128,196,0,0
2,1,1,128,197,0,0
2,1,1,128,198,0,0
2,1,1,128,199,0,0
2,1,1,256,0,0,0
2,1,1,256,1,0,0
2,1,1,256,2,0,0
2,1,1,256,3,0,0
2,1,1,256,4,0,0
2,1,1,256,5,0,0
2,1,1,256,6,0,0
2,1,1,256,7,0,0
2,1,1,256,8,0,0
2,1,1,256,9,0,0
2,1,1,256,10,0,0
2,1,1,256,11,0,0
2,1,1,256,12,0,0
2,1,1,256,13,0,0
2,1,1,256,14,0,0
2,1,1,256,15,0,0
2,1,1,256,16,0,0
2,1,1,256,17,0,0
2,1,1,256,18,0,0
2,1,1,256,19,0,0
2,1,1,256,20,0,0
2,1,1,256,21,0,0
2,1,1,256,22,0,0
2,1,1,256,23,0,0
2,1,1,256,24,0,0
2,1,1,256,25,0,0
2,1,1,256,26,0,0
2,1,1,256,27,0,0
2,1,1,256,28,0,0
2,1,1,256,29,0,0
2,1,1,256,30,0,0
2,1,1,256,31,0,0
2,1,1,256,32,0,0
2,1,1,256,33,0,0
2,1,1,256,34,0,0
2,1,1,256,35,0,0
2,1,1,256,36,0,0
2,1,1,256,37,0,0
2,1,1,256,38,0,0
2,1,1,256,39,0,0
2,1,1,256,40,0,0
2,1,1,256,41,0,0
2,1,1,256,42,0,0
2,1,1,256,43,0,0
2,1,1,256,44,0,0
2,1,1,256,45,0,0
2,1,1,256,46,0,0
2,1,1,256,47,0,0
2,1,1,256,48,0,0
2,1,1,256,49,0,0
2,1,1,256,50,0,0
2,1,1,256,51,0,0
2,1,1,256,52,0,0
2,1,1,256,53,0,0
2,1,1,256,54,0,0
2,1,1,256,55,0,0
2,1,1,256,56,0,0
2,1,1,256,57,0,0
2,1,1,256,58,0,0
2,1,1,256,59,0,0
2,1,1,256,60,0,0
2,1,1,256,61,0,0
2,1,1,256,62,0,0
2,1,1,256,63,0,0
2,1,1,256,64,0,0
2,1,1,256,65,0,0
2,1,1,256,66,0,0
2,1,1,256,67,0,0
2,1,1,256,68,0,0
2,1,1,256,69,0,0
2,1,1,256,70,0,0
2,1,1,256,71,0,0
2,1,1,256,72,0,0
2,1,1,256,73,0,0
2,1,1,256,74,0,0
2,1,1,256,75,0,0
2,1,1,256,76,0,0
2,1,1,256,77,0,0
2,1,1,256,78,0,0
2,1,1,256,79,0,0
2,1,1,256,80,0,0
2,1,1,256,81,0,0
2,1,1,256,82,0,0
2,1,1,256,83,0,0
2,1,1,256,84,0,0
2,1,1,256,85,0,0
2,1,1,256,86,0,0
2,1,1,256,87,0,0
2,1,1,256,88,0,0
2,1,1,256,89,0,0
2,1,1,256,90,0,0
2,1,1,256,91,0,0
2,1,1,256,92,0,0
2,1,1,256,93,0,0
2,1,1,256,94,0,0
2,1,1,256,95,0,0
2,1,1,256,96,0,0
2,1,1,256,97,0,0
2,1,1,256,98,0,0
2,1,1,256,99,0,0
2,1,1,256,100,0,0
2,1,1,256,101,0,0
2,1,1,256,102,0,0
2,1,1,256,103,0,0
2,1,1,256,104,0,0
2,1,1,256,105,0,0
2,1,1,256,106,0,0
2,1,1,256,107,0,0
2,1,1,256,108,0,0
2,1,1,256,109,0,0
2,1,1,256,110,0,0
2,1,1,256,111,0,0
2,1,1,256,112,0,0
2,1,1,256,113,0,0
2,1,1,256,114,0,0
2,1,1,256,115,0,0
2,1,1,256,116,0,0
2,1,1,256,117,0,0
2,1,1,256,118,0,0
2,1,1,256,119,0,0
2,1,1,256,120,0,0
2,1,1,256,121,0,0
2,1,1,256,122,0,0
2,1,1,256,123,0,0
2,1,1,256,124,0,0
2,1,1,256,125,0,0
2,1,1,256,126,0,0
2,1,1,256,127,0,0
2,1,1,256,128,0,0
2,1,1,256,129,0,0
2,1,1,256,130,0,0
2,1,1,256,131,0,0
2,1,1,256,132,0,0
2,1,1,256,133,0,0
2,1,1,256,134,0,0
2,1,1,256,135,0,0
2,1,1,256,136,0,0
2,1,1,256,137,0,0
2,1,1,256,138,0,0
2,1,1,256,139,0,0
2,1,1,256,140,0,0
2,1,1,256,141,0,0
2,1,1,256,142,0,0
2,1,1,256,143,0,0
2,1,1,256,144,0,0
2,1,1,256,145,0,0
2,1,1,256,146,0,0
2,1,1,256,147,0,0
2,1,1,256,148,0,0
2,1,1,256,149,0,0
2,1,1,256,150,0,0
2,1,1,256,151,0,0
2,1,1,256,152,0,0
2,1,1,256,153,0,0
2,1,1,256,154,0,0
2,1,1,256,155,0,0
2,1,1,256,156,0,0
2,1,1,256,157,0,0
2,1,1,256,158,0,0
2,1,1,256,159,0,0
2,1,1,256,160,0,0
2,1,1,256,161,0,0
2,1,1,256,162,0,0
2,1,1,256,163,0,0
2,1,1,256,164,0,0
2,1,1,256,165,0,0
2,1,1,256,166,0,0
2,1,1,256,167,0,0
2,1,1,256,168,0,0
2,1,1,256,169,0,0
2,1,1,256,170,0,0
2,1,1,256,171,0,0
2,1,1,256,172,0,0
2,1,1,256,173,0,0
2,1,1,256,174,0,0
2,1,1,256,175,0,0
2,1,1,256,176,0,0
2,1,1,256,177,0,0
2,1,1,256,178,0,0
2,1,1,256,179,0,0
2,1,1,256,180,0,0
2,1,1,256,181,0,0
2,1,1,256,182,0,0
2,1,1,256,183,0,0
2,1,1,256,184,0,0
2,1,1,256,185,0,0
2,1,1,256,186,0,0
2,1,1,256,187,0,0
2,1,1,256,188,0,0
2,1,1,256,189,0,0
2,1,1,256,190,0,0
2,1,1,256,191,0,0
2,1,1,256,192,0,0
2,1,1,256,193,0,0
2,1,1,256,194,0,0
2,1,1,256,195,0,0
2,1,1,256,196,0,0
2,1,1,256,197,0,0
2,1,1,256,198,0,0
2,1,1,256,199,0,0
2,1,1,512,0,0,0
2,1,1,512,1,0,0
2,1,1,512,2,0,0
2,1,1,512,3,0,0
2,1,1,512,4,0,0
2,1,1,512,5,0,0
2,1,1,512,6,0,0
2,1,1,512,7,0,0
2,1,1,512,8,0,0
2,1,1,512,9,0,0
2,1,1,512,10,0,0
2,1,1,512,11,0,0
2,1,1,512,12,0,0
2,1,1,512,13,0,0
2,1,1,512,14,0,0
2,1,1,512,15,0,0
2,1,1,512,16,0,0
2,1,1,512,17,0,0
2,1,1,512,18,0,0
2,1,1,512,19,0,0
2,1,1,512,20,0,0
2,1,1,512,21,0,0
2,1,1,512,22,0,0
2,1,1,512,23,0,0
2,1,1,512,24,0,0
2,1,1,512,25,0,0
2,1,1,512,26,0,0
2,1,1,512,27,0,0
2,1,1,512,28,0,0
2,1,1,512,29,0,0
2,1,1,512,30,0,0
2,1,1,512,31,0,0
2,1,1,512,32,0,0
2,1,1,512,33,0,0
2,1,1,512,34,0,0
2,1,1,512,35,0,0
2,1,1,512,36,0,0
2,1,1,512,37,0,0
2,1,1,512,38,0,0
2,1,1,512,39,0,0
2,1,1,512,40,0,0
2,1,1,512,41,0,0
2,1,1,512,42,0,0
2,1,1,512,43,0,0
2,1,1,512,44,0,0
2,1,1,512,45,0,0
2,1,1,512,46,0,0
2,1,1,512,47,0,0
2,1,1,512,48,0,0
2,1,1,512,49,0,0
2,1,1,512,50,0,0
2,1,1,512,51,0,0
2,1,1,512,52,0,0
2,1,1,512,53,0,0
2,1,1,512,54,0,0
2,1,1,512,55,0,0
2,1,1,512,56,0,0
2,1,1,512,57,0,0
2,1,1,512,58,0,0
2,1,1,512,59,0,0
2,1,1,512,60,0,0
2,1,1,512,61,0,0
2,1,1,512,62,0,0
2,1,1,512,63,0,0
2,1,1,512,64,0,0
2,1,1,512,65,0,0
2,1,1,512,66,0,0
2,1,1,512,67,0,0
2,1,1,512,68,0,0
2,1,1,512,69,0,0
2,1,1,512,70,0,0
2,1,1,512,71,0,0
2,1,1,512,72,0,0
2,1,1,512,73,0,0
2,1,1,512,74,0,0
2,1,1,512,75,0,0
2,1,1,512,76,0,0
2,1,1,512,77,0,0
2,1,1,512,78,0,0
2,1,1,512,79,0,0
2,1,1,512,80,0,0
2,1,1,512,81,0,0
2,1,1,512,82,0,0
2,1,1,512,83,0,0
2,1,1,512,84,0,0
2,1,1,512,85,0,0
2,1,1,512,86,0,0
2,1,1,512,87,0,0
2,1,1,512,88,0,0
2,1,1,512,89,0,0
2,1,1,512,90,0,0
2,1,1,512,91,0,0
2,1,1,512,92,0,0
2,1,1,512,93,0,0
2,1,1,512,94,0,0
2,1,1,512,95,0,0
2,1,1,512,96,0,0
2,1,1,512,97,0,0
2,1,1,512,98,0,0
2,1,1,512,99,0,0
2,1,1,512,100,0,0
2,1,1,512,101,0,0
2,1,1,512,102,0,0
2,1,1,512,103,0,0
2,1,1,512,104,0,0
2,1,1,512,105,0,0
2,1,1,512,106,0,0
2,1,1,512,107,0,0
2,1,1,512,108,0,0
2,1,1,512,109,0,0
2,1,1,512,110,0,0
2,1,1,512,111,0,0
2,1,1,512,112,0,0
2,1,1,512,113,0,0
2,1,1,512,114,0,0
2,1,1,512,115,0,0
2,1,1,512,116,0,0
2,1,1,512,117,0,0
2,1,1,512,118,0,0
2,1,1,512,119,0,0
2,1,1,512,120,0,0
2,1,1,512,121,0,0
2,1,1,512,122,0,0
2,1,1,512,123,0,0
2,1,1,512,124,0,0
2,1,1,512,125,0,0
2,1,1,512,126,0,0
2,1,1,512,127,0,0
2,1,1,512,128,0,0
2,1,1,512,129,0,0
2,1,1,512,130,0,0
2,1,1,512,131,0,0
2,1,1,512,132,0,0
2,1,1,512,133,0,0
2,1,1,512,134,0,0
2,1,1,512,135,0,0
2,1,1,512,136,0,0
2,1,1,512,137,0,0
2,1,1,512,138,0,0
2,1,1,512,139,0,0
2,1,1,512,140,0,0
2,1,1,512,141,0,0
2,1,1,512,142,0,0
2,1,1,512,143,0,0
2,1,1,512,144,0,0
2,1,1,512,145,0,0
2,1,1,512,146,0,0
2,1,1,512,147,0,0
2,1,1,512,148,0,0
2,1,1,512,149,0,0
2,1,1,512,150,0,0
2,1,1,512,151,0,0
2,1,1,512,152,0,0
2,1,1,512,153,0,0
2,1,1,512,154,0,0
2,1,1,512,155,0,0
2,1,1,512,156,0,0
2,1,1,512,157,0,0
2,1,1,512,158,0,0
2,1,1,512,159,0,0
2,1,1,512,160,0,0
2,1,1,512,161,0,0
2,1,1,512,162,0,0
2,1,1,512,163,0,0
2,1,1,512,164,0,0
2,1,1,512,165,0,0
2,1,1,512,166,0,0
2,1,1,512,167,0,0
2,1,1,512,168,0,0
2,1,1,512,169,0,0
2,1,1,512,170,0,0
2,1,1,512,171,0,0
2,1,1,512,172,0,0
2,1,1,512,173,0,0
2,1,1,512,174,0,0
2,1,1,512,175,0,0
2,1,1,512,176,0,0
2,1,1,512,177,0,0
2,1,1,512,178,0,0
2,1,1,512,179,0,0
2,1,1,512,180,0,0
2,1,1,512,181,0,0
2,1,1,512,182,0,0
2,1,1,512,183,0,0
2,1,1,512,184,0,0
2,1,1,512,185,0,0
2,1,1,512,186,0,0
2,1,1,512,187,0,0
2,1,1,512,188,0,0
2,1,1,512,189,0,0
2,1,1,512,190,0,0
2,1,1,512,191,0,0
2,1,1,512,192,0,0
2,1,1,512,193,0,0
2,1,1,512,194,0,0
2,1,1,512,195,0,0
2,1,1,512,196,0,0
2,1,1,512,197,0,0
2,1,1,512,198,0,0
2,1,1,512,199,0,0
2,1,1,1024,0,0,0
2,1,1,1024,1,0,0
2,1,1,1024,2,0,0
2,1,1,1024,3,0,0
2,1,1,1024,4,0,0
2,1,1,1024,5,0,0
2,1,1,1024,6,0,0
2,1,1,1024,7,0,0
2,1,1,1024,8,0,0
2,1,1,1024,9,0,0
2,1,1,1024,10,0,0
2,1,1,1024,11,0,0
2,1,1,1024,12,0,0
2,1,1,1024,13,0,0
2,1,1,1024,14,0,0
2,1,1,1024,15,0,0
2,1,1,1024,16,0,0
2,1,1,1024,17,0,0
2,1,1,1024,18,0,0
2,1,1,1024,19,0,0
2,1,1,1024,20,0,0
2,1,1,1024,21,0,0
2,1,1,1024,22,0,0
2,1,1,1024,23,0,0
2,1,1,1024,24,0,0
2,1,1,1024,25,0,0
2,1,1,1024,26,0,0
2,1,1,1024,27,0,0
2,1,1,1024,28,0,0
2,1,1,1024,29,0,0
2,1,1,1024,30,0,0
2,1,1,1024,31,0,0
2,1,1,1024,32,0,0
2,1,1,1024,33,0,0
2,1,1,1024,34,0,0
2,1,1,1024,35,0,0
2,1,1,1024,36,0,0
2,1,1,1024,37,0,0
2,1,1,1024,38,0,0
2,1,1,1024,39,0,0
2,1,1,1024,40,0,0
2,1,1,1024,41,0,0
2,1,1,1024,42,0,0
2,1,1,1024,43,0,0
2,1,1,1024,44,0,0
2,1,1,1024,45,0,0
2,1,1,1024,46,0,0
2,1,1,1024,47,0,0
2,1,1,1024,48,0,0
2,1,1,1024,49,0,0
2,1,1,1024,50,0,0
2,1,1,1024,51,0,0
2,1,1,1024,52,0,0
2,1,1,1024,53,0,0
2,1,1,1024,54,0,0
2,1,1,1024,55,0,0
2,1,1,1024,56,0,0
2,1,1,1024,57,0,0
2,1,1,1024,58,0,0
2,1,1,1024,59,0,0
2,1,1,1024,60,0,0
2,1,1,1024,61,0,0
2,1,1,1024,62,0,0
2,1,1,1024,63,0,0
2,1,1,1024,64,0,0
2,1,1,1024,65,0,0
2,1,1,1024,66,0,0
2,1,1,1024,67,0,0
2,1,1,1024,68,0,0
2,1,1,1024,69,0,0
2,1,1,1024,70,0,0
2,1,1,1024,71,0,0
2,1,1,1024,72,0,0
2,1,1,1024,73,0,0
2,1,1,1024,74,0,0
2,1,1,1024,75,0,0
2,1,1,1024,76,0,0
2,1,1,1024,77,0,0
2,1,1,1024,78,0,0
2,1,1,1024,79,0,0
2,1,1,1024,80,0,0
2,1,1,1024,81,0,0
2,1,1,1024,82,0,0
2,1,1,1024,83,0,0
2,1,1,1024,84,0,0
2,1,1,1024,85,0,0
2,1,1,1024,86,0,0
2,1,1,1024,87,0,0
2,1,1,1024,88,0,0
2,1,1,1024,89,0,0
2,1,1,1024,90,0,0
2,1,1,1024,91,0,0
2,1,1,1024,92,0,0
2,1,1,1024,93,0,0
2,1,1,1024,94,0,0
2,1,1,1024,95,0,0
2,1,1,1024,96,0,0
2,1,1,1024,97,0,0
2,1,1,1024,98,0,0
2,1,1,1024,99,0,0
2,1,1,1024,100,0,0
2,1,1,1024,101,0,0
2,1,1,1024,102,0,0
2,1,1,1024,103,0,0
2,1,1,1024,104,0,0
2,1,1,1024,105,0,0
2,1,1,1024,106,0,0
2,1,1,1024,107,0,0
2,1,1,1024,108,0,0
2,1,1,1024,109,0,0
2,1,1,1024,110,0,0
2,1,1,1024,111,0,0
2,1,1,1024,112,0,0
2,1,1,1024,113,0,0
2,1,1,1024,114,0,0
2,1,1,1024,115,0,0
2,1,1,1024,116,0,0
2,1,1,1024,117,0,0
2,1,1,1024,118,0,0
2,1,1,1024,119,0,0
2,1,1,1024,120,0,0
2,1,1,1024,121,0,0
2,1,1,1024,122,0,0
2,1,1,1024,123,0,0
2,1,1,1024,124,0,0
2,1,1,1024,125,0,0
2,1,1,1024,126,0,0
2,1,1,1024,127,0,0
2,1,1,1024,128,0,0
2,1,1,1024,129,0,0
2,1,1,1024,130,0,0
2,1,1,1024,131,0,0
2,1,1,1024,132,0,0
2,1,1,1024,133,0,0
2,1,1,1024,134,0,0
2,1,1,1024,135,0,0
2,1,1,1024,136,0,0
2,1,1,1024,137,0,0
2,1,1,1024,138,0,0
2,1,1,1024,139,0,0
2,1,1,1024,140,0,0
2,1,1,1024,141,0,0
2,1,1,1024,142,0,0
2,1,1,1024,143,0,0
2,1,1,1024,144,0,0
2,1,1,1024,145,0,0
2,1,1,1024,146,0,0
2,1,1,1024,147,0,0
2,1,1,1024,148,0,0
2,1,1,1024,149,0,0
2,1,1,1024,150,0,0
2,1,1,1024,151,0,0
2,1,1,1024,152,0,0
2,1,1,1024,153,0,0
2,1,1,1024,154,0,0
2,1,1,1024,155,0,0
2,1,1,1024,156,0,0
2,1,1,1024,157,0,0
2,1,1,1024,158,0,0
2,1,1,1024,159,0,0
2,1,1,1024,160,0,0
2,1,1,1024,161,0,0
2,1,1,1024,162,0,0
2,1,1,1024,163,0,0
2,1,1,1024,164,0,0
2,1,1,1024,165,0,0
2,1,1,1024,166,0,0
2,1,1,1024,167,0,0
2,1,1,1024,168,0,0
2,1,1,1024,169,0,0
2,1,1,1024,170,0,0
2,1,1,1024,171,0,0
2,1,1,1024,172,0,0
2,1,1,1024,173,0,0
2,1,1,1024,174,0,0
2,1,1,1024,175,0,0
2,1,1,1024,176,0,0
2,1,1,1024,177,0,0
2,1,1,1024,178,0,0
2,1,1,1024,179,0,0
